time	duration	track	channel	instrument	pitch	velocity	bar	beat
0	87873	1	0	48	65	120	0.000000	0.000000
0	87873	1	0	48	70	120	0.000000	0.000000
0	87873	1	0	48	77	120	0.000000	0.000000
0	87873	2	1	48	63	120	0.000000	0.000000
0	87873	2	1	48	70	120	0.000000	0.000000
175746	87873	2	1	48	63	120	0.125000	0.500000
175746	87873	2	1	48	70	120	0.125000	0.500000
527239	87873	2	1	48	63	120	0.375000	1.500000
527239	87873	2	1	48	70	120	0.375000	1.500000
702986	87873	1	0	48	77	120	0.500000	2.000000
702986	87873	1	0	48	82	120	0.500000	2.000000
702986	87873	1	0	48	89	120	0.500000	2.000000
702986	87873	2	1	48	63	120	0.500000	2.000000
702986	87873	2	1	48	70	120	0.500000	2.000000
878732	87873	2	1	48	63	120	0.625000	2.500000
878732	87873	2	1	48	70	120	0.625000	2.500000
1230225	87873	2	1	48	63	120	0.875000	3.500000
1230225	87873	2	1	48	70	120	0.875000	3.500000
1405972	87873	1	0	48	72	120	1.000000	4.000000
1405972	87873	1	0	48	77	120	1.000000	4.000000
1405972	87873	1	0	48	84	120	1.000000	4.000000
1405972	87873	2	1	48	63	120	1.000000	4.000000
1405972	87873	2	1	48	70	120	1.000000	4.000000
1581718	87873	2	1	48	63	120	1.125000	4.500000
1581718	87873	2	1	48	70	120	1.125000	4.500000
1933211	87873	2	1	48	63	120	1.375000	5.500000
1933211	87873	2	1	48	70	120	1.375000	5.500000
2108958	87873	2	1	48	63	120	1.500000	6.000000
2108958	87873	2	1	48	70	120	1.500000	6.000000
2284704	87873	2	1	48	63	120	1.625000	6.500000
2284704	87873	2	1	48	70	120	1.625000	6.500000
2460451	87873	2	1	48	63	120	1.750000	7.000000
2460451	87873	2	1	48	70	120	1.750000	7.000000
2636197	87873	2	1	48	65	120	1.875000	7.500000
2636197	87873	2	1	48	72	120	1.875000	7.500000
2811944	87873	1	0	48	70	120	2.000000	8.000000
2811944	87873	1	0	48	77	120	2.000000	8.000000
2811944	87873	1	0	48	82	120	2.000000	8.000000
2811944	87873	2	1	48	63	120	2.000000	8.000000
2811944	87873	2	1	48	70	120	2.000000	8.000000
2987690	87873	2	1	48	63	120	2.125000	8.500000
2987690	87873	2	1	48	70	120	2.125000	8.500000
3339183	87873	2	1	48	63	120	2.375000	9.500000
3339183	87873	2	1	48	70	120	2.375000	9.500000
3514930	87873	1	0	48	77	120	2.500000	10.000000
3514930	87873	1	0	48	82	120	2.500000	10.000000
3514930	87873	1	0	48	89	120	2.500000	10.000000
3514930	87873	2	1	48	63	120	2.500000	10.000000
3514930	87873	2	1	48	70	120	2.500000	10.000000
3690676	87873	2	1	48	63	120	2.625000	10.500000
