time	duration	track	channel	instrument	pitch	velocity	bar	beat
0	250	1	0	48	65	120	0.000000	0.000000
0	250	1	0	48	70	120	0.000000	0.000000
0	250	1	0	48	77	120	0.000000	0.000000
0	250	2	1	48	63	120	0.000000	0.000000
0	250	2	1	48	70	120	0.000000	0.000000
500	250	2	1	48	63	120	0.125000	0.500000
500	250	2	1	48	70	120	0.125000	0.500000
1500	250	2	1	48	63	120	0.375000	1.500000
1500	250	2	1	48	70	120	0.375000	1.500000
2000	250	1	0	48	77	120	0.500000	2.000000
2000	250	1	0	48	82	120	0.500000	2.000000
2000	250	1	0	48	89	120	0.500000	2.000000
2000	250	2	1	48	63	120	0.500000	2.000000
2000	250	2	1	48	70	120	0.500000	2.000000
2500	250	2	1	48	63	120	0.625000	2.500000
2500	250	2	1	48	70	120	0.625000	2.500000
3500	250	2	1	48	63	120	0.875000	3.500000
3500	250	2	1	48	70	120	0.875000	3.500000
4000	250	1	0	48	72	120	1.000000	4.000000
4000	250	1	0	48	77	120	1.000000	4.000000
4000	250	1	0	48	84	120	1.000000	4.000000
4000	250	2	1	48	63	120	1.000000	4.000000
4000	250	2	1	48	70	120	1.000000	4.000000
4500	250	2	1	48	63	120	1.125000	4.500000
4500	250	2	1	48	70	120	1.125000	4.500000
5500	250	2	1	48	63	120	1.375000	5.500000
5500	250	2	1	48	70	120	1.375000	5.500000
6000	250	2	1	48	63	120	1.500000	6.000000
6000	250	2	1	48	70	120	1.500000	6.000000
6500	250	2	1	48	63	120	1.625000	6.500000
6500	250	2	1	48	70	120	1.625000	6.500000
7000	250	2	1	48	63	120	1.750000	7.000000
7000	250	2	1	48	70	120	1.750000	7.000000
7500	250	2	1	48	65	120	1.875000	7.500000
7500	250	2	1	48	72	120	1.875000	7.500000
8000	250	1	0	48	70	120	2.000000	8.000000
8000	250	1	0	48	77	120	2.000000	8.000000
8000	250	1	0	48	82	120	2.000000	8.000000
8000	250	2	1	48	63	120	2.000000	8.000000
8000	250	2	1	48	70	120	2.000000	8.000000
8500	250	2	1	48	63	120	2.125000	8.500000
8500	250	2	1	48	70	120	2.125000	8.500000
9500	250	2	1	48	63	120	2.375000	9.500000
9500	250	2	1	48	70	120	2.375000	9.500000
10000	250	1	0	48	77	120	2.500000	10.000000
10000	250	1	0	48	82	120	2.500000	10.000000
10000	250	1	0	48	89	120	2.500000	10.000000
10000	250	2	1	48	63	120	2.500000	10.000000
10000	250	2	1	48	70	120	2.500000	10.000000
10500	250	2	1	48	63	120	2.625000	10.500000
10500	250	2	1	48	70	120	2.625000	10.500000
11500	250	2	1	48	63	120	2.875000	11.500000
11500	250	2	1	48	70	120	2.875000	11.500000
12000	250	1	0	48	65	120	3.000000	12.000000
