time	track	channel	pitch	volume	instrument
0	1	1	93	120	0
0	2	2	53	120	0
0	2	2	60	120	0
3	1	1	91	120	0
6	1	1	88	120	0
9	1	1	86	120	0
12	1	1	88	120	0
18	1	1	91	120	0
21	1	1	88	120	0
24	1	1	86	120	0
24	2	2	55	120	0
24	2	2	62	120	0
30	1	1	88	120	0
33	1	1	86	120	0
36	1	1	84	120	0
42	1	1	86	120	0
45	1	1	84	120	0
48	1	1	83	120	0
48	2	2	52	120	0
48	2	2	59	120	0
60	1	1	84	120	0
66	1	1	83	120	0
72	1	1	81	120	0
72	2	2	57	120	0
72	2	2	52	120	0
84	1	1	76	120	0
90	1	1	81	120	0
93	1	1	84	120	0
96	1	1	93	120	0
96	2	2	60	120	0
96	2	2	53	120	0
99	1	1	91	120	0
102	1	1	88	120	0
105	1	1	86	120	0
108	1	1	88	120	0
114	1	1	91	120	0
117	1	1	88	120	0
120	1	1	95	120	0
120	2	2	55	120	0
120	2	2	59	120	0
126	1	1	96	120	0
129	1	1	100	120	0
132	1	1	95	120	0
138	1	1	93	120	0
141	1	1	91	120	0
144	1	1	88	120	0
144	2	2	57	120	0
144	2	2	52	120	0
156	1	1	91	120	0
156	1	1	79	120	0
162	1	1	86	120	0
162	1	1	98	120	0
168	1	1	97	120	0
168	1	1	85	120	0
168	2	2	61	120	0
168	2	2	57	120	0
180	1	1	95	120	0
186	1	1	93	120	0
189	1	1	95	120	0
192	1	1	96	120	0
192	2	2	41	120	0
195	1	1	95	120	0
198	1	1	91	120	0
198	2	2	48	120	0
201	1	1	88	120	0
204	1	1	86	120	0
204	2	2	57	120	0
210	1	1	84	120	0
210	2	2	48	120	0
213	1	1	88	120	0
216	1	1	83	120	0
216	2	2	43	120	0
219	1	1	81	120	0
222	1	1	84	120	0
222	2	2	50	120	0
225	1	1	88	120	0
228	1	1	83	120	0
228	2	2	59	120	0
231	1	1	79	120	0
234	1	1	83	120	0
234	2	2	50	120	0
237	1	1	84	120	0
240	1	1	83	120	0
240	2	2	45	120	0
243	1	1	81	120	0
246	1	1	84	120	0
246	2	2	52	120	0
249	1	1	81	120	0
252	1	1	86	120	0
252	2	2	60	120	0
255	1	1	84	120	0
258	1	1	81	120	0
258	2	2	52	120	0
261	1	1	79	120	0
264	1	1	76	120	0
264	2	2	45	120	0
267	1	1	79	120	0
270	1	1	81	120	0
270	2	2	52	120	0
273	1	1	76	120	0
276	1	1	72	120	0
276	2	2	43	120	0
279	1	1	74	120	0
282	1	1	76	120	0
282	2	2	50	120	0
285	1	1	71	120	0
288	1	1	69	120	0
288	2	2	41	120	0
291	1	1	72	120	0
294	1	1	79	120	0
294	2	2	48	120	0
297	1	1	72	120	0
300	1	1	81	120	0
300	1	1	72	120	0
300	2	2	57	120	0
306	1	1	71	120	0
306	1	1	79	120	0
306	2	2	48	120	0
309	1	1	76	120	0
309	1	1	69	120	0
312	1	1	69	120	0
312	2	2	43	120	0
315	1	1	72	120	0
318	1	1	79	120	0
318	2	2	50	120	0
321	1	1	72	120	0
324	1	1	83	120	0
324	1	1	76	120	0
324	2	2	59	120	0
330	1	1	74	120	0
330	1	1	81	120	0
330	2	2	50	120	0
336	1	1	80	120	0
336	1	1	68	120	0
336	1	1	76	120	0
336	2	2	40	120	0
342	1	1	76	120	0
342	2	2	47	120	0
348	1	1	80	120	0
348	1	1	68	120	0
348	1	1	76	120	0
348	2	2	56	120	0
354	1	1	76	120	0
354	2	2	47	120	0
360	1	1	69	120	0
360	1	1	74	120	0
360	1	1	81	120	0
360	2	2	56	120	0
366	1	1	76	120	0
366	2	2	47	120	0
372	1	1	81	120	0
372	1	1	73	120	0
