tick	time	track	channel	bar	beat	pitch	volume	instrument
0	0	1	1	0	0	93	120	0
0	0	2	2	0	0	53	120	0
0	0	2	2	0	0	60	120	0
3	3	1	1	0	0	91	120	0
6	6	1	1	0	0	88	120	0
9	9	1	1	0	0	86	120	0
12	12	1	1	0	0	88	120	0
18	18	1	1	0	1	91	120	0
21	21	1	1	0	1	88	120	0
24	24	1	1	0	1	86	120	0
24	24	2	2	0	1	55	120	0
24	24	2	2	0	1	62	120	0
30	30	1	1	0	2	88	120	0
33	33	1	1	0	2	86	120	0
36	36	1	1	0	2	84	120	0
42	42	1	1	0	3	86	120	0
45	45	1	1	0	3	84	120	0
48	48	1	1	0	3	83	120	0
48	48	2	2	0	3	52	120	0
48	48	2	2	0	3	59	120	0
60	60	1	1	1	4	84	120	0
66	66	1	1	1	5	83	120	0
72	72	1	1	1	5	81	120	0
72	72	2	2	1	5	52	120	0
72	72	2	2	1	5	57	120	0
84	84	1	1	1	6	76	120	0
90	90	1	1	1	7	81	120	0
93	93	1	1	1	7	84	120	0
96	96	1	1	1	7	93	120	0
96	96	2	2	1	7	53	120	0
96	96	2	2	1	7	60	120	0
99	99	1	1	2	8	91	120	0
102	102	1	1	2	8	88	120	0
105	105	1	1	2	8	86	120	0
108	108	1	1	2	8	88	120	0
114	114	1	1	2	9	91	120	0
117	117	1	1	2	9	88	120	0
120	120	1	1	2	9	95	120	0
120	120	2	2	2	9	55	120	0
120	120	2	2	2	9	59	120	0
126	126	1	1	2	10	96	120	0
129	129	1	1	2	10	100	120	0
132	132	1	1	2	10	95	120	0
138	138	1	1	2	11	93	120	0
141	141	1	1	2	11	91	120	0
144	144	1	1	2	11	88	120	0
144	144	2	2	2	11	52	120	0
144	144	2	2	2	11	57	120	0
156	156	1	1	3	12	79	120	0
156	156	1	1	3	12	91	120	0
162	162	1	1	3	13	86	120	0
162	162	1	1	3	13	98	120	0
168	168	1	1	3	13	85	120	0
168	168	1	1	3	13	97	120	0
168	168	2	2	3	13	57	120	0
168	168	2	2	3	13	61	120	0
180	180	1	1	3	14	95	120	0
186	186	1	1	3	15	93	120	0
189	189	1	1	3	15	95	120	0
192	192	1	1	3	15	96	120	0
192	192	2	2	3	15	41	120	0
195	195	1	1	4	16	95	120	0
198	198	1	1	4	16	91	120	0
198	198	2	2	4	16	48	120	0
201	201	1	1	4	16	88	120	0
204	204	1	1	4	16	86	120	0
204	204	2	2	4	16	57	120	0
210	210	1	1	4	17	84	120	0
210	210	2	2	4	17	48	120	0
213	213	1	1	4	17	88	120	0
216	216	1	1	4	17	83	120	0
216	216	2	2	4	17	43	120	0
219	219	1	1	4	18	81	120	0
222	222	1	1	4	18	84	120	0
222	222	2	2	4	18	50	120	0
225	225	1	1	4	18	88	120	0
228	228	1	1	4	18	83	120	0
228	228	2	2	4	18	59	120	0
231	231	1	1	4	19	79	120	0
234	234	1	1	4	19	83	120	0
234	234	2	2	4	19	50	120	0
237	237	1	1	4	19	84	120	0
240	240	1	1	4	19	83	120	0
240	240	2	2	4	19	45	120	0
243	243	1	1	5	20	81	120	0
246	246	1	1	5	20	84	120	0
246	246	2	2	5	20	52	120	0
249	249	1	1	5	20	81	120	0
252	252	1	1	5	20	86	120	0
252	252	2	2	5	20	60	120	0
255	255	1	1	5	21	84	120	0
258	258	1	1	5	21	81	120	0
258	258	2	2	5	21	52	120	0
261	261	1	1	5	21	79	120	0
264	264	1	1	5	21	76	120	0
264	264	2	2	5	21	45	120	0
267	267	1	1	5	22	79	120	0
270	270	1	1	5	22	81	120	0
270	270	2	2	5	22	52	120	0
273	273	1	1	5	22	76	120	0
276	276	1	1	5	22	72	120	0
276	276	2	2	5	22	43	120	0
279	279	1	1	5	23	74	120	0
282	282	1	1	5	23	76	120	0
282	282	2	2	5	23	50	120	0
285	285	1	1	5	23	71	120	0
288	288	1	1	5	23	69	120	0
288	288	2	2	5	23	41	120	0
291	291	1	1	6	24	72	120	0
294	294	1	1	6	24	79	120	0
294	294	2	2	6	24	48	120	0
297	297	1	1	6	24	72	120	0
300	300	1	1	6	24	72	120	0
300	300	1	1	6	24	81	120	0
300	300	2	2	6	24	57	120	0
306	306	1	1	6	25	71	120	0
306	306	1	1	6	25	79	120	0
306	306	2	2	6	25	48	120	0
309	309	1	1	6	25	69	120	0
309	309	1	1	6	25	76	120	0
312	312	1	1	6	25	69	120	0
312	312	2	2	6	25	43	120	0
315	315	1	1	6	26	72	120	0
318	318	1	1	6	26	79	120	0
318	318	2	2	6	26	50	120	0
321	321	1	1	6	26	72	120	0
324	324	1	1	6	26	76	120	0
324	324	1	1	6	26	83	120	0
324	324	2	2	6	26	59	120	0
330	330	1	1	6	27	74	120	0
330	330	1	1	6	27	81	120	0
330	330	2	2	6	27	50	120	0
336	336	1	1	6	27	68	120	0
336	336	1	1	6	27	76	120	0
336	336	1	1	6	27	80	120	0
336	336	2	2	6	27	40	120	0
342	342	1	1	7	28	76	120	0
342	342	2	2	7	28	47	120	0
348	348	1	1	7	28	68	120	0
348	348	1	1	7	28	76	120	0
348	348	1	1	7	28	80	120	0
348	348	2	2	7	28	56	120	0
354	354	1	1	7	29	76	120	0
354	354	2	2	7	29	47	120	0
360	360	1	1	7	29	69	120	0
360	360	1	1	7	29	74	120	0
360	360	1	1	7	29	81	120	0
360	360	2	2	7	29	56	120	0
366	366	1	1	7	30	76	120	0
366	366	2	2	7	30	47	120	0
372	372	1	1	7	30	73	120	0
372	372	1	1	7	30	81	120	0
372	372	2	2	7	30	57	120	0
375	375	1	1	7	31	76	120	0
378	378	1	1	7	31	81	120	0
378	378	2	2	7	31	48	120	0
381	381	1	1	7	31	84	120	0
384	384	1	1	7	31	81	120	0
384	384	2	2	7	31	41	120	0
387	387	1	1	8	32	79	120	0
390	390	1	1	8	32	76	120	0
390	390	2	2	8	32	48	120	0
393	393	1	1	8	32	74	120	0
396	396	1	1	8	32	76	120	0
396	396	2	2	8	32	57	120	0
402	402	1	1	8	33	79	120	0
402	402	2	2	8	33	48	120	0
405	405	1	1	8	33	76	120	0
408	408	1	1	8	33	74	120	0
408	408	2	2	8	33	43	120	0
414	414	1	1	8	34	76	120	0
414	414	2	2	8	34	50	120	0
417	417	1	1	8	34	74	120	0
420	420	1	1	8	34	72	120	0
