time	track	channel	beat	pitch	volume	bar	instrument
0	2	0	0	39	80	0	0
0	1	0	0	65	80	0	0
5	2	0	0	46	80	0	0
5	1	0	0	55	80	0	0
10	2	0	0	51	80	0	0
10	1	0	0	58	80	0	0
15	1	0	1	65	80	0	0
25	1	0	2	55	80	0	0
30	2	0	2	39	80	0	0
30	1	0	2	58	80	0	0
35	1	0	3	65	80	0	0
40	2	0	3	41	80	0	0
45	2	0	4	48	80	1	0
45	1	0	4	55	80	1	0
50	2	0	4	53	80	1	0
50	1	0	4	58	80	1	0
55	1	0	5	65	80	1	0
65	1	0	6	55	80	1	0
70	2	0	6	41	80	1	0
75	1	0	7	58	80	1	0
80	2	0	7	43	80	1	0
85	2	0	8	50	80	2	0
85	1	0	8	58	80	2	0
90	2	0	8	55	80	2	0
95	1	0	9	58	80	2	0
105	1	0	10	58	80	2	0
110	2	0	10	55	80	2	0
115	1	0	11	58	80	2	0
120	2	0	11	43	80	2	0
125	2	0	12	50	80	3	0
125	1	0	12	60	80	3	0
130	2	0	12	55	80	3	0
135	1	0	13	62	80	3	0
140	2	0	13	43	80	3	0
145	1	0	14	63	80	3	0
150	2	0	14	41	80	3	0
155	1	0	15	67	80	3	0
160	2	0	15	39	80	3	0
160	1	0	15	77	80	3	0
165	2	0	16	46	80	4	0
165	1	0	16	67	80	4	0
170	2	0	16	51	80	4	0
170	1	0	16	70	80	4	0
175	2	0	17	55	80	4	0
175	1	0	17	77	80	4	0
180	2	0	17	58	80	4	0
185	1	0	18	67	80	4	0
190	2	0	18	51	80	4	0
190	1	0	18	70	80	4	0
195	1	0	19	77	80	4	0
200	2	0	19	41	80	4	0
205	2	0	20	48	80	5	0
205	1	0	20	67	80	5	0
210	2	0	20	53	80	5	0
210	1	0	20	70	80	5	0
215	2	0	21	57	80	5	0
215	1	0	21	77	80	5	0
220	2	0	21	60	80	5	0
225	1	0	22	67	80	5	0
230	2	0	22	53	80	5	0
230	1	0	22	74	80	5	0
235	1	0	23	75	80	5	0
240	2	0	23	43	80	5	0
245	2	0	24	50	80	6	0
245	1	0	24	77	80	6	0
250	2	0	24	55	80	6	0
255	2	0	25	57	80	6	0
265	1	0	26	58	80	6	0
270	1	0	26	55	80	6	0
275	1	0	27	58	80	6	0
280	2	0	27	43	80	6	0
285	2	0	28	50	80	7	0
290	2	0	28	55	80	7	0
295	2	0	29	60	80	7	0
305	1	0	30	62	80	7	0
310	1	0	30	55	80	7	0
320	2	0	31	39	80	7	0
325	2	0	32	46	80	8	0
325	1	0	32	58	80	8	0
325	1	0	32	65	80	8	0
330	2	0	32	51	80	8	0
330	1	0	32	58	80	8	0
330	1	0	32	65	80	8	0
335	1	0	33	58	80	8	0
335	1	0	33	65	80	8	0
340	1	0	33	58	80	8	0
340	1	0	33	65	80	8	0
345	1	0	34	60	80	8	0
350	2	0	34	39	80	8	0
350	1	0	34	60	80	8	0
355	1	0	35	60	80	8	0
360	2	0	35	41	80	8	0
365	2	0	36	48	80	9	0
365	1	0	36	58	80	9	0
365	1	0	36	65	80	9	0
370	2	0	36	53	80	9	0
370	1	0	36	58	80	9	0
370	1	0	36	65	80	9	0
375	1	0	37	58	80	9	0
375	1	0	37	65	80	9	0
380	1	0	37	58	80	9	0
380	1	0	37	65	80	9	0
385	1	0	38	60	80	9	0
390	2	0	38	41	80	9	0
390	1	0	38	62	80	9	0
395	1	0	39	63	80	9	0
400	2	0	39	43	80	9	0
405	2	0	40	50	80	10	0
405	1	0	40	62	80	10	0
410	2	0	40	55	80	10	0
