tick	time	channel	track	pitch	velocity	instrument
0	0	1	1	64	80	1
0	0	3	1	46	64	1
29	46	1	1	64	0	1
30	48	1	1	65	80	1
59	94	1	1	65	0	1
59	94	3	1	46	0	1
60	96	1	1	67	80	1
60	96	3	1	53	64	1
89	142	1	1	67	0	1
90	144	1	1	69	80	1
119	190	3	1	53	0	1
120	192	3	1	57	64	1
149	238	1	1	69	0	1
150	240	1	1	60	80	1
179	286	1	1	60	0	1
180	288	1	1	72	80	1
209	334	1	1	72	0	1
210	336	1	1	69	80	1
239	382	3	1	57	0	1
240	384	3	1	48	64	1
299	478	3	1	48	0	1
300	480	3	1	52	64	1
359	574	3	1	52	0	1
360	576	3	1	55	64	1
479	766	1	1	69	0	1
479	766	3	1	55	0	1
480	768	1	1	64	80	1
480	768	3	1	45	64	1
509	814	1	1	64	0	1
510	816	1	1	65	80	1
539	862	1	1	65	0	1
539	862	3	1	45	0	1
540	864	1	1	67	80	1
540	864	3	1	52	64	1
569	910	1	1	67	0	1
570	912	1	1	69	80	1
599	958	3	1	52	0	1
600	960	3	1	55	64	1
629	1006	1	1	69	0	1
630	1008	1	1	60	80	1
659	1054	1	1	60	0	1
660	1056	1	1	72	80	1
689	1102	1	1	72	0	1
690	1104	1	1	69	80	1
719	1150	1	1	69	0	1
719	1150	3	1	55	0	1
720	1152	1	1	67	80	1
720	1152	3	1	50	64	1
749	1198	1	1	67	0	1
750	1200	1	1	69	80	1
779	1246	1	1	69	0	1
779	1246	3	1	50	0	1
780	1248	1	1	65	80	1
780	1248	3	1	53	64	1
809	1294	1	1	65	0	1
810	1296	1	1	67	80	1
839	1342	1	1	67	0	1
839	1342	3	1	53	0	1
840	1344	1	1	64	80	1
840	1344	3	1	57	64	1
869	1390	1	1	64	0	1
870	1392	1	1	65	80	1
899	1438	1	1	65	0	1
900	1440	1	1	60	80	1
959	1534	1	1	60	0	1
959	1534	3	1	57	0	1
960	1536	1	1	64	80	1
960	1536	3	1	46	64	1
989	1582	1	1	64	0	1
990	1584	1	1	65	80	1
1019	1630	1	1	65	0	1
1019	1630	3	1	46	0	1
1020	1632	1	1	67	80	1
1020	1632	3	1	53	64	1
1049	1678	1	1	67	0	1
1050	1680	1	1	69	80	1
1079	1726	3	1	53	0	1
1080	1728	3	1	57	64	1
1109	1774	1	1	69	0	1
1110	1776	1	1	60	80	1
1139	1822	1	1	60	0	1
1140	1824	1	1	72	80	1
1169	1870	1	1	72	0	1
1170	1872	1	1	69	80	1
1199	1918	3	1	57	0	1
1200	1920	3	1	48	64	1
1259	2014	3	1	48	0	1
1260	2016	3	1	52	64	1
1319	2110	3	1	52	0	1
1320	2112	3	1	55	64	1
1439	2302	1	1	69	0	1
1439	2302	3	1	55	0	1
1440	2304	1	1	64	80	1
1440	2304	3	1	45	64	1
1469	2350	1	1	64	0	1
1470	2352	1	1	65	80	1
1499	2398	1	1	65	0	1
1499	2398	3	1	45	0	1
1500	2400	1	1	67	80	1
1500	2400	3	1	52	64	1
1529	2446	1	1	67	0	1
1530	2448	1	1	69	80	1
1559	2494	3	1	52	0	1
1560	2496	3	1	55	64	1
1589	2542	1	1	69	0	1
1590	2544	1	1	60	80	1
1619	2590	1	1	60	0	1
1620	2592	1	1	72	80	1
1649	2638	1	1	72	0	1
1650	2640	1	1	69	80	1
1650	2640	9	6	38	72	0
1665	2664	9	6	38	0	0
1665	2664	9	6	38	72	0
1679	2686	1	1	69	0	1
1679	2686	3	1	55	0	1
1680	2688	1	1	67	80	1
1680	2688	3	1	50	64	1
1680	2688	9	6	38	0	0
1680	2688	9	6	38	72	0
1709	2734	1	1	67	0	1
1710	2736	1	1	69	80	1
1710	2736	9	6	38	0	0
1710	2736	9	6	38	72	0
1739	2782	1	1	69	0	1
1739	2782	3	1	50	0	1
1740	2784	1	1	65	80	1
1740	2784	3	1	53	64	1
1740	2784	9	6	35	72	0
1740	2784	9	6	38	0	0
1769	2830	1	1	65	0	1
1770	2832	1	1	67	80	1
1770	2832	9	6	35	0	0
1770	2832	9	6	38	72	0
1799	2878	1	1	67	0	1
1799	2878	3	1	53	0	1
1800	2880	1	1	64	80	1
1800	2880	3	1	57	64	1
1800	2880	9	6	38	0	0
1800	2880	9	6	38	72	0
1829	2926	1	1	64	0	1
1830	2928	1	1	65	80	1
1859	2974	1	1	65	0	1
1860	2976	1	1	60	80	1
1860	2976	9	6	38	0	0
1860	2976	9	6	38	72	0
1890	3024	9	6	38	0	0
1890	3024	9	6	38	72	0
1919	3070	1	1	60	0	1
1919	3070	3	1	57	0	1
1920	3072	1	1	76	80	1
1920	3072	4	2	58	56	4
1920	3072	6	4	58	36	48
1920	3072	6	4	69	34	48
1920	3072	6	4	74	48	48
1920	3072	7	5	46	62	35
1920	3072	9	6	35	72	0
1920	3072	9	6	38	0	0
1920	3072	9	6	49	72	0
1949	3118	1	1	76	0	1
1950	3120	1	1	77	80	1
1979	3166	1	1	77	0	1
1980	3168	1	1	79	80	1
1980	3168	4	2	65	53	4
1980	3168	9	6	35	0	0
1980	3168	9	6	35	72	0
1980	3168	9	6	42	72	0
1980	3168	9	6	49	0	0
2009	3214	1	1	79	0	1
2010	3216	1	1	81	80	1
2040	3264	4	2	69	53	4
2040	3264	9	6	35	0	0
2040	3264	9	6	38	72	0
2040	3264	9	6	42	0	0
2040	3264	9	6	42	72	0
2069	3310	1	1	81	0	1
2070	3312	1	1	72	80	1
2092	3347	4	2	58	0	4
2099	3358	1	1	72	0	1
2100	3360	1	1	84	80	1
2100	3360	4	2	74	56	4
2100	3360	9	6	38	0	0
2100	3360	9	6	42	0	0
2100	3360	9	6	42	72	0
2121	3393	7	5	46	0	35
2129	3406	1	1	84	0	1
2130	3408	1	1	81	80	1
2157	3451	4	2	74	0	4
2160	3456	4	2	55	53	4
2160	3456	4	2	60	53	4
2160	3456	4	2	65	0	4
2160	3456	4	2	67	56	4
2160	3456	4	2	69	0	4
2160	3456	6	4	48	36	48
2160	3456	6	4	58	0	48
2160	3456	6	4	60	34	48
2160	3456	6	4	64	48	48
2160	3456	6	4	69	0	48
2160	3456	6	4	74	0	48
2160	3456	7	5	36	68	35
2160	3456	9	6	35	72	0
2160	3456	9	6	42	0	0
2160	3456	9	6	42	72	0
2190	3504	9	6	38	72	0
2190	3504	9	6	42	0	0
2217	3547	4	2	67	0	4
2220	3552	4	2	64	39	4
2220	3552	9	6	35	0	0
2220	3552	9	6	35	72	0
2220	3552	9	6	38	0	0
2220	3552	9	6	42	72	0
2250	3600	5	3	55	53	25
2275	3640	7	5	36	0	35
2277	3643	4	2	64	0	4
2280	3648	4	2	72	56	4
2280	3648	5	3	60	62	25
2280	3648	5	3	64	68	25
2280	3648	7	5	40	65	35
2280	3648	9	6	35	0	0
2280	3648	9	6	38	72	0
2280	3648	9	6	42	0	0
2280	3648	9	6	42	72	0
2336	3737	5	3	55	0	25
2337	3739	4	2	72	0	4
2337	3739	5	3	60	0	25
2337	3739	5	3	64	0	25
2337	3739	7	5	40	0	35
2340	3744	4	2	67	45	4
2340	3744	7	5	31	59	35
2340	3744	9	6	38	0	0
2340	3744	9	6	42	0	0
2340	3744	9	6	42	72	0
2381	3809	6	4	48	0	48
2383	3812	4	2	55	0	4
2385	3816	4	2	60	0	4
2397	3835	4	2	67	0	4
2397	3835	7	5	31	0	35
2399	3838	1	1	81	0	1
2400	3840	1	1	76	80	1
2400	3840	4	2	57	56	4
2400	3840	6	4	60	0	48
2400	3840	6	4	64	0	48
2400	3840	6	4	67	34	48
2400	3840	6	4	72	48	48
2400	3840	6	4	76	45	48
2400	3840	7	5	45	65	35
2400	3840	9	6	35	72	0
2400	3840	9	6	42	0	0
2400	3840	9	6	42	72	0
2429	3886	1	1	76	0	1
2430	3888	1	1	77	80	1
2459	3934	1	1	77	0	1
2460	3936	1	1	79	80	1
2460	3936	4	2	64	53	4
2460	3936	9	6	35	0	0
2460	3936	9	6	35	72	0
2460	3936	9	6	42	0	0
2460	3936	9	6	42	72	0
2489	3982	1	1	79	0	1
2490	3984	1	1	81	80	1
2520	4032	4	2	67	53	4
2520	4032	9	6	35	0	0
2520	4032	9	6	38	72	0
2520	4032	9	6	42	0	0
2520	4032	9	6	42	72	0
