time	track	channel	pitch	volume	instrument
0	1	1	64	80	-1
0	1	3	46	64	-1
4	1	1	64	0	39
4	1	1	65	80	39
8	1	3	46	0	1
8	1	1	65	0	39
8	1	3	53	64	1
8	1	1	67	80	39
12	1	1	67	0	39
12	1	1	69	80	39
16	1	3	53	0	1
16	1	3	57	64	1
20	1	1	69	0	39
20	1	1	60	80	39
24	1	1	60	0	39
24	1	1	72	80	39
28	1	1	72	0	39
28	1	1	69	80	39
32	1	3	57	0	1
32	1	3	48	64	1
40	1	3	48	0	1
40	1	3	52	64	1
48	1	3	52	0	1
48	1	3	55	64	1
64	1	1	69	0	39
64	1	3	55	0	1
64	1	1	64	80	39
64	1	3	45	64	1
68	1	1	64	0	39
68	1	1	65	80	39
72	1	1	65	0	39
72	1	3	45	0	1
72	1	1	67	80	39
72	1	3	52	64	1
76	1	1	67	0	39
76	1	1	69	80	39
80	1	3	52	0	1
80	1	3	55	64	1
84	1	1	69	0	39
84	1	1	60	80	39
88	1	1	60	0	39
88	1	1	72	80	39
92	1	1	72	0	39
92	1	1	69	80	39
96	1	1	69	0	39
96	1	3	55	0	1
96	1	1	67	80	39
96	1	3	50	64	1
100	1	1	67	0	39
100	1	1	69	80	39
104	1	3	50	0	1
104	1	1	69	0	39
104	1	3	53	64	1
104	1	1	65	80	39
108	1	1	65	0	39
108	1	1	67	80	39
112	1	1	67	0	39
112	1	3	53	0	1
112	1	1	64	80	39
112	1	3	57	64	1
116	1	1	64	0	39
116	1	1	65	80	39
120	1	1	65	0	39
120	1	1	60	80	39
128	1	3	57	0	1
128	1	1	60	0	39
128	1	3	46	64	1
128	1	1	64	80	39
132	1	1	64	0	39
132	1	1	65	80	39
136	1	1	65	0	39
136	1	3	46	0	1
136	1	1	67	80	39
136	1	3	53	64	1
140	1	1	67	0	39
140	1	1	69	80	39
144	1	3	53	0	1
144	1	3	57	64	1
148	1	1	69	0	39
148	1	1	60	80	39
152	1	1	60	0	39
152	1	1	72	80	39
156	1	1	72	0	39
156	1	1	69	80	39
160	1	3	57	0	1
160	1	3	48	64	1
168	1	3	48	0	1
168	1	3	52	64	1
176	1	3	52	0	1
176	1	3	55	64	1
192	1	1	69	0	39
192	1	3	55	0	1
192	1	3	45	64	1
192	1	1	64	80	39
196	1	1	64	0	39
196	1	1	65	80	39
200	1	3	45	0	1
200	1	1	65	0	39
200	1	3	52	64	1
200	1	1	67	80	39
204	1	1	67	0	39
204	1	1	69	80	39
208	1	3	52	0	1
208	1	3	55	64	1
212	1	1	69	0	39
212	1	1	60	80	39
216	1	1	60	0	39
216	1	1	72	80	39
220	1	1	72	0	39
220	1	1	69	80	39
220	6	9	38	72	0
222	6	9	38	0	0
222	6	9	38	72	0
224	1	3	55	0	1
224	1	1	69	0	39
