time	track	channel	bar	pitch	volume	bar	instrument
64	0	1	0	41	127	0	0
64	0	1	0	72	95	0	0
64	0	1	0	77	95	0	0
64	0	1	0	53	95	0	0
64	0	1	0	65	95	0	0
64	0	1	0	69	95	0	0
72	0	1	1	57	95	1	0
72	0	1	1	60	95	1	0
72	0	1	1	53	95	1	0
80	0	1	1	57	95	1	0
80	0	1	1	72	95	1	0
80	0	1	1	77	95	1	0
80	0	1	1	81	95	1	0
80	0	1	1	69	95	1	0
80	0	1	1	45	95	1	0
88	0	1	1	57	95	1	0
88	0	1	1	53	95	1	0
88	0	1	1	60	95	1	0
96	0	1	1	77	95	1	0
96	0	1	1	72	95	1	0
96	0	1	1	69	95	1	0
96	0	1	1	81	95	1	0
96	0	1	1	57	95	1	0
96	0	1	1	45	95	1	0
104	0	1	1	60	95	1	0
104	0	1	1	57	95	1	0
104	0	1	1	53	95	1	0
112	0	1	1	81	95	1	0
112	0	1	1	45	95	1	0
112	0	1	1	62	95	1	0
112	0	1	1	57	95	1	0
112	0	1	1	77	95	1	0
112	0	1	1	74	95	1	0
112	0	1	1	69	95	1	0
120	0	1	1	57	95	1	0
120	0	1	1	53	95	1	0
120	0	1	1	62	95	1	0
128	0	1	1	77	95	1	0
128	0	1	1	46	95	1	0
128	0	1	1	58	95	1	0
128	0	1	1	82	95	1	0
128	0	1	1	74	95	1	0
128	0	1	1	70	95	1	0
136	0	1	2	58	95	2	0
136	0	1	2	55	95	2	0
136	0	1	2	62	95	2	0
144	0	1	2	79	95	2	0
144	0	1	2	43	95	2	0
144	0	1	2	70	95	2	0
144	0	1	2	67	95	2	0
144	0	1	2	74	95	2	0
144	0	1	2	55	95	2	0
152	0	1	2	58	95	2	0
152	0	1	2	62	95	2	0
152	0	1	2	55	95	2	0
160	0	1	2	74	95	2	0
160	0	1	2	79	95	2	0
160	0	1	2	43	95	2	0
160	0	1	2	55	95	2	0
160	0	1	2	70	95	2	0
160	0	1	2	67	95	2	0
168	0	1	2	62	95	2	0
168	0	1	2	55	95	2	0
168	0	1	2	58	95	2	0
176	0	1	2	55	95	2	0
176	0	1	2	43	95	2	0
176	0	1	2	70	95	2	0
176	0	1	2	74	95	2	0
176	0	1	2	79	95	2	0
176	0	1	2	67	95	2	0
184	0	1	2	62	95	2	0
184	0	1	2	55	95	2	0
184	0	1	2	58	95	2	0
192	0	1	2	70	95	2	0
192	0	1	2	62	95	2	0
192	0	1	2	46	95	2	0
192	0	1	2	77	95	2	0
192	0	1	2	82	95	2	0
192	0	1	2	58	95	2	0
192	0	1	2	74	95	2	0
200	0	1	3	55	95	3	0
200	0	1	3	58	95	3	0
200	0	1	3	62	95	3	0
208	0	1	3	77	95	3	0
208	0	1	3	69	95	3	0
208	0	1	3	57	95	3	0
208	0	1	3	81	95	3	0
208	0	1	3	45	95	3	0
208	0	1	3	74	95	3	0
216	0	1	3	53	95	3	0
216	0	1	3	57	95	3	0
216	0	1	3	62	95	3	0
224	0	1	3	74	95	3	0
224	0	1	3	69	95	3	0
224	0	1	3	45	95	3	0
224	0	1	3	57	95	3	0
224	0	1	3	81	95	3	0
224	0	1	3	77	95	3	0
232	0	1	3	53	95	3	0
232	0	1	3	62	95	3	0
232	0	1	3	57	95	3	0
240	0	1	3	77	95	3	0
240	0	1	3	70	95	3	0
240	0	1	3	74	95	3	0
240	0	1	3	82	95	3	0
240	0	1	3	46	95	3	0
240	0	1	3	58	95	3	0
248	0	1	3	58	95	3	0
248	0	1	3	55	95	3	0
248	0	1	3	62	95	3	0
256	0	1	3	45	95	3	0
