0
28
31
33
35
36
38
40
41
43
45
47
48
50
55
57
69
71
time	track	channel	bar	pitch	volume	instrument
64	0	1	0	41	127	0
64	0	1	0	72	127	0
64	0	1	0	77	127	0
64	0	1	0	53	127	0
64	0	1	0	65	127	0
64	0	0	0	69	127	0
64	0	0	0	65	127	0
64	0	0	0	77	127	0
64	0	0	0	72	127	0
64	0	0	0	48	127	0
64	0	1	0	69	127	0
64	0	0	0	53	127	0
72	0	1	1	60	127	1
72	0	1	1	57	127	1
72	0	1	1	53	127	1
72	0	1	1	53	0	1
80	0	1	1	72	127	1
80	0	1	1	77	0	1
80	0	1	1	57	0	1
80	0	0	1	65	0	1
80	0	1	1	41	0	1
80	0	0	1	69	0	1
80	0	1	1	65	0	1
80	0	0	1	72	0	1
80	0	1	1	69	0	1
80	0	0	1	77	0	1
80	0	1	1	60	0	1
80	0	1	1	72	0	1
80	0	1	1	53	0	1
80	0	0	1	81	127	1
80	0	0	1	72	127	1
80	0	0	1	77	127	1
80	0	0	1	69	127	1
80	0	1	1	45	127	1
80	0	1	1	69	127	1
80	0	1	1	57	127	1
80	0	1	1	81	127	1
80	0	1	1	77	127	1
88	0	1	1	60	127	1
88	0	1	1	53	127	1
88	0	1	1	57	127	1
88	0	1	1	57	0	1
96	0	1	1	81	0	1
96	0	0	1	77	0	1
96	0	1	1	72	0	1
96	0	0	1	69	0	1
96	0	1	1	69	0	1
96	0	1	1	45	0	1
96	0	1	1	53	0	1
96	0	0	1	81	0	1
96	0	1	1	57	0	1
96	0	0	1	72	0	1
96	0	1	1	81	127	1
96	0	1	1	60	0	1
96	0	0	1	72	127	1
96	0	0	1	81	127	1
96	0	0	1	77	127	1
96	0	1	1	45	127	1
96	0	1	1	57	127	1
96	0	0	1	69	127	1
96	0	1	1	77	127	1
96	0	1	1	72	127	1
96	0	1	1	69	127	1
96	0	1	1	77	0	1
104	0	1	1	57	127	1
104	0	1	1	53	127	1
104	0	1	1	60	127	1
104	0	1	1	57	0	1
112	0	1	1	62	127	1
112	0	1	1	57	0	1
112	0	1	1	53	0	1
112	0	0	1	77	0	1
112	0	1	1	69	0	1
112	0	0	1	69	0	1
112	0	1	1	81	0	1
112	0	0	1	72	0	1
112	0	1	1	45	0	1
112	0	0	1	81	0	1
112	0	1	1	60	0	1
112	0	1	1	72	0	1
112	0	1	1	77	0	1
112	0	1	1	69	127	1
112	0	1	1	74	127	1
112	0	1	1	77	127	1
112	0	1	1	81	127	1
112	0	1	1	57	127	1
112	0	0	1	74	127	1
112	0	0	1	77	127	1
112	0	0	1	81	127	1
112	0	1	1	45	127	1
112	0	0	1	69	127	1
120	0	1	1	62	0	1
120	0	1	1	57	0	1
120	0	1	1	62	127	1
120	0	1	1	53	127	1
120	0	1	1	57	127	1
128	0	1	1	81	0	1
128	0	0	1	69	0	1
128	0	1	1	77	0	1
128	0	0	1	53	0	1
128	0	1	1	62	0	1
128	0	0	1	48	0	1
128	0	0	1	81	0	1
128	0	1	1	74	0	1
128	0	1	1	69	0	1
128	0	0	1	77	0	1
128	0	1	1	53	0	1
128	0	0	1	74	0	1
128	0	1	1	45	0	1
128	0	0	1	46	127	1
128	0	0	1	82	127	1
128	0	0	1	77	127	1
128	0	0	1	74	127	1
128	0	0	1	70	127	1
128	0	1	1	74	127	1
128	0	0	1	55	127	1
128	0	1	1	46	127	1
128	0	1	1	58	127	1
128	0	1	1	82	127	1
128	0	1	1	77	127	1
128	0	1	1	70	127	1
128	0	1	1	57	0	1
136	0	1	2	62	127	2
136	0	1	2	55	127	2
136	0	1	2	58	127	2
136	0	1	2	58	0	2
144	0	1	2	62	0	2
144	0	1	2	58	0	2
144	0	1	2	55	0	2
144	0	0	2	82	0	2
144	0	1	2	74	0	2
144	0	0	2	70	0	2
144	0	1	2	82	0	2
144	0	0	2	77	0	2
144	0	1	2	46	0	2
144	0	0	2	74	0	2
144	0	1	2	70	0	2
144	0	1	2	67	127	2
144	0	1	2	74	127	2
144	0	1	2	79	127	2
144	0	1	2	55	127	2
144	0	1	2	43	127	2
144	0	1	2	70	127	2
144	0	0	2	67	127	2
144	0	0	2	70	127	2
144	0	0	2	74	127	2
144	0	0	2	79	127	2
144	0	1	2	77	0	2
152	0	1	2	58	127	2
152	0	1	2	55	0	2
152	0	1	2	62	127	2
152	0	1	2	55	127	2
160	0	1	2	55	127	2
160	0	1	2	79	0	2
160	0	0	2	70	0	2
160	0	1	2	67	0	2
160	0	0	2	67	0	2
160	0	1	2	43	0	2
160	0	0	2	79	0	2
160	0	1	2	70	0	2
160	0	0	2	74	0	2
160	0	1	2	58	0	2
160	0	1	2	62	0	2
160	0	1	2	55	0	2
160	0	0	2	74	127	2
160	0	1	2	67	127	2
160	0	1	2	70	127	2
160	0	1	2	74	127	2
160	0	1	2	79	127	2
160	0	1	2	43	127	2
160	0	0	2	67	127	2
160	0	0	2	70	127	2
160	0	0	2	79	127	2
160	0	1	2	74	0	2
168	0	1	2	62	127	2
168	0	1	2	55	127	2
168	0	1	2	58	127	2
168	0	1	2	55	0	2
176	0	0	2	67	0	2
176	0	1	2	67	0	2
176	0	0	2	70	0	2
176	0	1	2	55	0	2
176	0	1	2	74	0	2
176	0	1	2	79	0	2
176	0	0	2	79	0	2
176	0	1	2	43	0	2
176	0	0	2	74	0	2
176	0	1	2	70	0	2
176	0	1	2	58	0	2
176	0	0	2	70	127	2
176	0	0	2	67	127	2
176	0	0	2	79	127	2
176	0	1	2	67	127	2
176	0	1	2	55	127	2
176	0	1	2	79	127	2
176	0	1	2	74	127	2
176	0	1	2	70	127	2
176	0	0	2	74	127	2
176	0	1	2	43	127	2
176	0	1	2	62	0	2
184	0	1	2	55	127	2
184	0	1	2	62	127	2
184	0	1	2	58	127	2
184	0	1	2	55	0	2
192	0	0	2	67	0	2
192	0	1	2	67	0	2
192	0	1	2	55	0	2
192	0	1	2	74	0	2
192	0	0	2	55	0	2
192	0	1	2	58	0	2
192	0	0	2	46	0	2
192	0	0	2	70	0	2
192	0	0	2	74	0	2
192	0	1	2	79	0	2
192	0	0	2	79	0	2
192	0	1	2	43	0	2
192	0	1	2	70	0	2
192	0	1	2	70	127	2
192	0	1	2	62	0	2
192	0	0	2	58	127	2
192	0	0	2	77	127	2
192	0	0	2	74	127	2
192	0	0	2	70	127	2
192	0	1	2	74	127	2
192	0	1	2	58	127	2
192	0	1	2	82	127	2
192	0	1	2	77	127	2
192	0	1	2	46	127	2
192	0	1	2	62	127	2
192	0	0	2	50	127	2
192	0	0	2	82	127	2
200	0	1	3	55	127	3
200	0	1	3	62	0	3
200	0	1	3	58	0	3
200	0	1	3	62	127	3
200	0	1	3	58	127	3
208	0	0	3	57	127	3
208	0	1	3	77	0	3
208	0	1	3	62	0	3
208	0	0	3	74	0	3
208	0	0	3	70	0	3
208	0	1	3	46	0	3
208	0	1	3	70	0	3
208	0	0	3	82	0	3
208	0	0	3	77	0	3
208	0	0	3	50	0	3
208	0	1	3	58	0	3
208	0	0	3	58	0	3
208	0	1	3	82	0	3
208	0	0	3	50	127	3
208	0	1	3	55	0	3
208	0	1	3	74	127	3
208	0	1	3	45	127	3
208	0	1	3	81	127	3
208	0	1	3	57	127	3
208	0	1	3	69	127	3
208	0	0	3	69	127	3
208	0	0	3	74	127	3
208	0	0	3	77	127	3
208	0	0	3	81	127	3
208	0	1	3	74	0	3
208	0	1	3	77	127	3
216	0	1	3	62	127	3
216	0	1	3	57	127	3
216	0	1	3	53	127	3
216	0	1	3	57	0	3
224	0	1	3	81	0	3
224	0	1	3	45	0	3
224	0	1	3	62	0	3
224	0	0	3	77	0	3
224	0	1	3	77	0	3
224	0	0	3	81	0	3
224	0	0	3	69	0	3
224	0	1	3	74	0	3
224	0	0	3	74	0	3
224	0	1	3	57	0	3
224	0	1	3	53	0	3
224	0	0	3	77	127	3
224	0	0	3	74	127	3
224	0	0	3	69	127	3
224	0	1	3	69	127	3
224	0	1	3	45	127	3
224	0	1	3	69	0	3
224	0	1	3	57	127	3
224	0	1	3	81	127	3
224	0	1	3	77	127	3
224	0	1	3	74	127	3
224	0	0	3	81	127	3
232	0	1	3	57	0	3
232	0	1	3	57	127	3
232	0	1	3	62	127	3
232	0	1	3	53	127	3
240	0	1	3	62	0	3
240	0	1	3	77	127	3
240	0	1	3	69	0	3
240	0	1	3	81	0	3
240	0	0	3	57	0	3
240	0	1	3	57	0	3
240	0	0	3	50	0	3
240	0	0	3	77	0	3
240	0	0	3	81	0	3
240	0	1	3	45	0	3
240	0	0	3	69	0	3
240	0	0	3	74	0	3
240	0	1	3	53	0	3
240	0	1	3	77	0	3
240	0	0	3	58	127	3
240	0	0	3	82	127	3
240	0	0	3	77	127	3
240	0	0	3	74	127	3
240	0	0	3	70	127	3
240	0	1	3	46	127	3
240	0	1	3	82	127	3
240	0	1	3	58	127	3
240	0	1	3	74	127	3
240	0	1	3	70	127	3
240	0	0	3	50	127	3
240	0	1	3	74	0	3
248	0	1	3	55	127	3
248	0	1	3	62	127	3
248	0	1	3	58	127	3
248	0	1	3	58	0	3
256	0	0	3	69	127	3
256	0	1	3	70	0	3
256	0	1	3	62	0	3
256	0	0	3	74	0	3
256	0	1	3	77	0	3
256	0	0	3	70	0	3
256	0	1	3	82	0	3
256	0	0	3	77	0	3
256	0	0	3	50	0	3
256	0	1	3	58	0	3
256	0	0	3	58	0	3
256	0	1	3	74	0	3
256	0	1	3	46	0	3
256	0	1	3	55	0	3
256	0	0	3	82	0	3
256	0	1	3	74	127	3
256	0	1	3	69	127	3
256	0	1	3	81	127	3
256	0	1	3	77	127	3
256	0	1	3	57	127	3
256	0	1	3	45	127	3
256	0	0	3	74	127	3
256	0	0	3	77	127	3
256	0	0	3	81	127	3
256	0	0	3	57	127	3
256	0	0	3	62	127	3
264	0	1	4	57	0	4
264	0	1	4	53	127	4
264	0	1	4	57	127	4
264	0	1	4	62	127	4
272	0	0	4	74	0	4
272	0	1	4	62	0	4
272	0	1	4	74	0	4
272	0	0	4	69	0	4
272	0	0	4	81	0	4
272	0	1	4	45	0	4
272	0	0	4	77	0	4
272	0	1	4	57	0	4
272	0	1	4	69	0	4
272	0	1	4	81	0	4
272	0	1	4	53	0	4
272	0	0	4	77	127	4
272	0	0	4	74	127	4
272	0	0	4	69	127	4
272	0	1	4	45	127	4
272	0	1	4	81	127	4
272	0	1	4	74	127	4
272	0	1	4	77	127	4
272	0	1	4	57	127	4
272	0	1	4	69	127	4
272	0	9	4	50	124	4
272	0	1	4	77	0	4
272	0	0	4	81	127	4
280	0	1	4	62	127	4
280	0	9	4	50	0	4
280	0	1	4	57	127	4
280	0	9	4	48	124	4
280	0	1	4	57	0	4
280	0	1	4	53	127	4
288	0	0	4	65	127	4
288	0	1	4	57	0	4
288	0	0	4	74	0	4
288	0	0	4	69	0	4
288	0	9	4	48	0	4
288	0	1	4	81	0	4
288	0	0	4	81	0	4
288	0	0	4	77	0	4
288	0	0	4	62	0	4
288	0	1	4	62	0	4
288	0	0	4	57	0	4
288	0	1	4	74	0	4
288	0	1	4	45	0	4
288	0	1	4	53	0	4
288	0	1	4	77	0	4
288	0	1	4	57	127	4
288	0	9	4	47	124	4
288	0	1	4	69	0	4
288	0	1	4	60	127	4
288	0	0	4	72	127	4
288	0	0	4	81	127	4
288	0	0	4	53	127	4
288	0	0	4	45	127	4
288	0	0	4	57	127	4
288	0	0	4	69	127	4
288	0	1	4	77	127	4
288	0	1	4	45	127	4
288	0	0	4	60	127	4
288	0	1	4	53	127	4
288	0	1	4	81	127	4
288	0	1	4	72	127	4
288	0	1	4	69	127	4
296	0	9	4	47	0	4
296	0	9	4	45	124	4
304	0	9	4	45	0	4
312	0	9	4	40	114	4
312	0	9	4	35	114	4
316	0	9	4	40	110	4
316	0	9	4	35	110	4
316	0	9	4	40	0	4
316	0	9	4	35	0	4
320	0	9	4	35	0	4
320	0	0	4	41	127	4
320	0	9	4	40	0	4
320	0	0	4	57	0	4
320	0	1	4	69	0	4
320	0	0	4	72	127	4
320	0	1	4	53	0	4
320	0	0	4	45	0	4
320	0	0	4	60	0	4
320	0	0	4	69	0	4
320	0	0	4	81	0	4
320	0	1	4	60	0	4
320	0	1	4	72	0	4
320	0	1	4	77	0	4
320	0	1	4	57	0	4
320	0	1	4	81	0	4
320	0	1	4	45	0	4
320	0	0	4	72	0	4
320	0	0	4	53	0	4
320	0	7	4	69	98	4
320	0	0	4	65	0	4
320	0	0	4	65	127	4
320	0	0	4	60	127	4
320	0	0	4	53	127	4
320	0	1	4	60	127	4
320	0	1	4	41	127	4
320	0	2	4	69	127	4
320	0	3	4	53	127	4
320	0	3	4	45	127	4
320	0	9	4	35	110	4
320	0	9	4	36	110	4
320	0	5	4	69	127	4
320	0	0	4	69	127	4
320	0	6	4	45	127	4
320	0	6	4	57	127	4
320	0	11	4	57	127	4
320	0	11	4	45	127	4
320	0	9	4	41	110	4
326	0	2	5	69	0	5
326	0	5	5	69	0	5
326	0	7	5	69	0	5
328	0	9	5	36	0	5
328	0	0	5	41	0	5
328	0	0	5	65	0	5
328	0	9	5	35	0	5
328	0	0	5	60	0	5
328	0	1	5	60	0	5
328	0	2	5	69	127	5
328	0	0	5	53	0	5
328	0	1	5	41	0	5
328	0	0	5	69	0	5
328	0	9	5	41	0	5
328	0	1	5	60	127	5
328	0	7	5	69	98	5
328	0	5	5	69	127	5
328	0	1	5	48	127	5
328	0	0	5	60	127	5
328	0	0	5	65	127	5
328	0	0	5	69	127	5
328	0	0	5	72	127	5
328	0	0	5	48	127	5
328	0	0	5	72	0	5
334	0	2	5	69	0	5
334	0	7	5	69	0	5
334	0	5	5	69	0	5
336	0	7	5	69	98	5
336	0	0	5	77	127	5
336	0	0	5	57	127	5
336	0	1	5	48	0	5
336	0	0	5	60	0	5
336	0	1	5	60	0	5
