time	track	channel	bar	pitch	volume	instrument
0	1	2	0	60	72	0
0	4	6	0	32	72	0
8	1	2	1202590843	56	72	1202590843
8	1	2	1202590843	60	0	1202590843
16	1	2	1202590843	63	80	1202590843
16	1	2	1202590843	56	0	1202590843
24	1	2	-343597384	56	80	-343597384
24	1	2	-343597384	63	0	-343597384
32	1	2	1202590843	58	80	1202590843
32	1	2	1202590843	56	0	1202590843
32	4	6	1202590843	39	72	1202590843
32	4	6	1202590843	32	0	1202590843
40	1	2	-1717986918	58	0	-1717986918
40	1	2	-1717986918	51	80	-1717986918
48	1	2	-343597383	51	0	-343597383
48	1	2	-343597383	63	80	-343597383
56	1	2	515396076	63	0	515396076
56	1	2	515396076	61	80	515396076
64	1	2	1202590843	61	0	1202590843
64	1	2	1202590843	60	80	1202590843
64	4	6	1202590843	39	0	1202590843
64	4	6	1202590843	41	72	1202590843
72	1	2	1889785610	60	0	1889785610
72	1	2	1889785610	56	80	1889785610
80	1	2	-1717986919	56	0	-1717986919
80	1	2	-1717986919	60	80	-1717986919
88	1	2	-1030792152	60	0	-1030792152
88	1	2	-1030792152	56	80	-1030792152
96	1	2	-343597385	56	0	-343597385
96	1	2	-343597385	60	80	-343597385
104	1	2	171798691	60	0	171798691
104	1	2	171798691	56	80	171798691
112	1	2	515396075	56	0	515396075
112	1	2	515396075	58	80	515396075
120	1	2	858993459	58	0	858993459
120	1	2	858993459	55	80	858993459
128	1	2	1202590843	55	0	1202590843
128	1	2	1202590843	60	72	1202590843
128	4	6	1202590843	41	0	1202590843
128	4	6	1202590843	32	72	1202590843
136	1	2	1546188227	60	0	1546188227
136	1	2	1546188227	56	72	1546188227
144	1	2	1889785611	56	0	1889785611
144	1	2	1889785611	63	80	1889785611
152	1	2	-2061584301	63	0	-2061584301
152	1	2	-2061584301	56	80	-2061584301
160	1	2	-1717986917	56	0	-1717986917
160	1	2	-1717986917	58	80	-1717986917
160	4	6	-1717986917	32	0	-1717986917
160	4	6	-1717986917	39	72	-1717986917
168	1	2	-1374389533	58	0	-1374389533
168	1	2	-1374389533	51	80	-1374389533
176	1	2	-1030792149	51	0	-1030792149
176	1	2	-1030792149	63	80	-1030792149
184	1	2	-687194765	63	0	-687194765
184	1	2	-687194765	61	80	-687194765
192	1	2	-343597381	61	0	-343597381
192	1	2	-343597381	60	80	-343597381
192	4	6	-343597381	39	0	-343597381
192	4	6	-343597381	41	72	-343597381
200	1	2	1	60	0	1
200	1	2	1	56	80	1
208	1	2	171798693	56	0	171798693
