beginTime	endTime	track	channel	bar	beat	pitch	volume	instrument
16	24	1	1	0	1	79	120	0
24	32	2	2	1	1	72	120	0
24	32	1	1	1	1	87	120	0
32	36	1	1	0	1	87	120	0
32	48	2	2	0	2	75	120	0
32	48	2	2	0	2	79	120	0
36	40	1	1	0	0	89	120	0
40	48	1	1	0	1	91	120	0
48	56	1	1	1	1	86	120	0
48	56	2	2	1	1	70	120	0
56	72	2	2	0	2	77	120	0
56	72	2	2	0	2	74	120	0
56	72	1	1	0	2	94	120	0
72	80	1	1	1	1	84	120	0
72	80	2	2	1	1	68	120	0
80	84	1	1	0	1	84	120	0
80	96	2	2	0	2	75	120	0
80	96	2	2	0	2	72	120	0
84	88	1	1	0	0	86	120	0
88	96	1	1	0	1	87	120	0
96	104	1	1	1	1	82	120	0
96	104	2	2	1	1	67	120	0
104	120	1	1	0	2	91	120	0
104	120	2	2	0	2	70	120	0
104	120	2	2	0	2	74	120	0
120	128	1	1	1	1	80	120	0
120	128	2	2	1	1	65	120	0
128	132	1	1	0	1	80	120	0
128	144	2	2	0	2	72	120	0
128	144	2	2	0	2	68	120	0
132	136	1	1	0	0	82	120	0
136	144	1	1	0	1	84	120	0
144	152	2	2	1	1	70	120	0
144	152	1	1	1	1	86	120	0
152	168	2	2	0	2	77	120	0
152	168	2	2	0	2	74	120	0
152	160	1	1	0	1	84	120	0
160	168	1	1	0	1	82	120	0
168	184	1	1	1	2	79	120	0
168	176	2	2	1	1	63	120	0
176	192	2	2	0	2	70	120	0
176	192	2	2	0	2	67	120	0
184	192	1	1	0	1	77	120	0
192	208	1	1	1	2	79	120	0
192	200	2	2	1	1	67	120	0
200	216	2	2	0	2	71	120	0
200	216	2	2	0	2	74	120	0
208	216	1	1	0	1	79	120	0
216	224	2	2	1	1	72	120	0
216	224	1	1	1	1	87	120	0
224	228	1	1	0	1	87	120	0
224	240	2	2	0	2	79	120	0
224	240	2	2	0	2	75	120	0
228	232	1	1	0	0	89	120	0
232	240	1	1	0	1	91	120	0
240	248	2	2	1	1	70	120	0
240	248	1	1	1	1	86	120	0
248	264	1	1	0	2	94	120	0
248	264	2	2	0	2	74	120	0
248	264	2	2	0	2	77	120	0
264	272	1	1	1	1	84	120	0
264	272	2	2	1	1	68	120	0
272	288	2	2	0	2	72	120	0
272	276	1	1	0	1	84	120	0
272	288	2	2	0	2	75	120	0
276	280	1	1	0	0	86	120	0
280	288	1	1	0	1	87	120	0
288	296	1	1	1	1	82	120	0
288	296	2	2	1	1	67	120	0
296	312	1	1	0	2	91	120	0
296	312	2	2	0	2	74	120	0
