time	track	channel	instrument	pitch	velocity	bar	beat
0	12	09	0	2A	59	0.000000	0.000000
750000	12	09	0	2A	00	0.250000	1.000000
750000	12	09	0	2A	59	0.250000	1.000000
1500000	12	09	0	2A	00	0.500000	2.000000
1500000	12	09	0	2A	59	0.500000	2.000000
2250000	12	09	0	2A	00	0.750000	3.000000
2250000	12	09	0	2A	59	0.750000	3.000000
3000000	4	01	0	4D	59	1.000000	4.000000
3000000	5	02	0	37	59	1.000000	4.000000
3000000	5	02	0	3E	59	1.000000	4.000000
3000000	12	09	0	2A	00	1.000000	4.000000
3375000	4	01	0	4D	00	1.125000	4.500000
3375000	4	01	0	54	59	1.125000	4.500000
3750000	4	01	0	54	00	1.250000	5.000000
3750000	4	01	0	52	59	1.250000	5.000000
4125000	4	01	0	52	00	1.375000	5.500000
4125000	4	01	0	4A	59	1.375000	5.500000
4125000	5	02	0	37	00	1.375000	5.500000
4125000	5	02	0	3E	00	1.375000	5.500000
4125000	5	02	0	3A	59	1.375000	5.500000
4125000	5	02	0	3E	59	1.375000	5.500000
4125000	5	02	0	41	59	1.375000	5.500000
4875000	4	01	0	4A	00	1.625000	6.500000
4875000	4	01	0	52	59	1.625000	6.500000
5062500	4	01	0	52	00	1.687500	6.750000
5062500	4	01	0	54	59	1.687500	6.750000
5250000	4	01	0	54	00	1.750000	7.000000
5250000	4	01	0	56	59	1.750000	7.000000
5437500	4	01	0	56	00	1.812500	7.250000
5437500	4	01	0	54	59	1.812500	7.250000
5625000	4	01	0	54	00	1.875000	7.500000
5625000	4	01	0	52	59	1.875000	7.500000
5812500	4	01	0	52	00	1.937500	7.750000
5812500	4	01	0	54	59	1.937500	7.750000
6000000	4	01	0	54	00	2.000000	8.000000
6000000	4	01	0	4D	59	2.000000	8.000000
6000000	5	02	0	3A	00	2.000000	8.000000
6000000	5	02	0	3E	00	2.000000	8.000000
6000000	5	02	0	41	00	2.000000	8.000000
6000000	5	02	0	33	59	2.000000	8.000000
6000000	5	02	0	3A	59	2.000000	8.000000
6000000	5	02	0	3F	59	2.000000	8.000000
6375000	4	01	0	4D	00	2.125000	8.500000
6375000	4	01	0	54	59	2.125000	8.500000
6750000	4	01	0	54	00	2.250000	9.000000
6750000	4	01	0	52	59	2.250000	9.000000
7125000	4	01	0	52	00	2.375000	9.500000
7125000	4	01	0	4D	59	2.375000	9.500000
7125000	5	02	0	33	00	2.375000	9.500000
