time	duration	track	channel	instrument	pitch	velocity	bar	beat
0	750000	12	9	0	42	89	0.000000	0.000000
750000	750000	12	9	0	42	89	0.250000	1.000000
1500000	750000	12	9	0	42	89	0.500000	2.000000
2250000	750000	12	9	0	42	89	0.750000	3.000000
3000000	375000	4	1	0	77	89	1.000000	4.000000
3000000	1125000	5	2	0	55	89	1.000000	4.000000
3000000	1125000	5	2	0	62	89	1.000000	4.000000
3375000	375000	4	1	0	84	89	1.125000	4.500000
3750000	375000	4	1	0	82	89	1.250000	5.000000
4125000	750000	4	1	0	74	89	1.375000	5.500000
4125000	1875000	5	2	0	58	89	1.375000	5.500000
4125000	1875000	5	2	0	62	89	1.375000	5.500000
4125000	1875000	5	2	0	65	89	1.375000	5.500000
4875000	187500	4	1	0	82	89	1.625000	6.500000
5062500	187500	4	1	0	84	89	1.687500	6.750000
5250000	187500	4	1	0	86	89	1.750000	7.000000
5437500	187500	4	1	0	84	89	1.812500	7.250000
5625000	187500	4	1	0	82	89	1.875000	7.500000
5812500	187500	4	1	0	84	89	1.937500	7.750000
6000000	375000	4	1	0	77	89	2.000000	8.000000
6000000	1125000	5	2	0	51	89	2.000000	8.000000
6000000	1125000	5	2	0	58	89	2.000000	8.000000
6000000	1125000	5	2	0	63	89	2.000000	8.000000
6375000	375000	4	1	0	84	89	2.125000	8.500000
6750000	375000	4	1	0	82	89	2.250000	9.000000
7125000	750000	4	1	0	77	89	2.375000	9.500000
7125000	1125000	5	2	0	58	89	2.375000	9.500000
7125000	1125000	5	2	0	62	89	2.375000	9.500000
7125000	1125000	5	2	0	65	89	2.375000	9.500000
7875000	187500	4	1	0	82	89	2.625000	10.500000
8062500	187500	4	1	0	84	89	2.687500	10.750000
8250000	187500	4	1	0	86	89	2.750000	11.000000
8250000	750000	5	2	0	53	89	2.750000	11.000000
8250000	750000	5	2	0	60	89	2.750000	11.000000
8250000	750000	5	2	0	65	89	2.750000	11.000000
8437500	187500	4	1	0	84	89	2.812500	11.250000
8625000	187500	4	1	0	82	89	2.875000	11.500000
8812500	187500	4	1	0	84	89	2.937500	11.750000
9000000	375000	4	1	0	77	89	3.000000	12.000000
9000000	1125000	5	2	0	55	89	3.000000	12.000000
9000000	1125000	5	2	0	62	89	3.000000	12.000000
9375000	375000	4	1	0	84	89	3.125000	12.500000
9750000	375000	4	1	0	82	89	3.250000	13.000000
10125000	750000	4	1	0	77	89	3.375000	13.500000
10125000	1875000	5	2	0	58	89	3.375000	13.500000
10125000	1875000	5	2	0	62	89	3.375000	13.500000
10125000	1875000	5	2	0	65	89	3.375000	13.500000
10875000	187500	4	1	0	82	89	3.625000	14.500000
11062500	187500	4	1	0	84	89	3.687500	14.750000
11250000	187500	4	1	0	86	89	3.750000	15.000000
11437500	187500	4	1	0	84	89	3.812500	15.250000
11625000	187500	4	1	0	82	89	3.875000	15.500000
11812500	187500	4	1	0	84	89	3.937500	15.750000
12000000	375000	4	1	0	77	89	4.000000	16.000000
12000000	1125000	5	2	0	51	89	4.000000	16.000000
