tick	duration	track	channel	instrument	pitch	velocity	bar	beat	bar_diff	beat_diff
7680	1367	0x01	0x00	0x00	0x4E	0x64	4.0000	0.7120	16.0000	2.8479
9119	456	0x01	0x00	0x00	0x52	0x64	4.7495	0.2375	18.9979	0.9500
9599	1368	0x01	0x00	0x00	0x57	0x64	4.9995	0.7125	19.9979	2.8500
11039	456	0x01	0x00	0x00	0x55	0x64	5.7495	0.2375	22.9979	0.9500
11519	1367	0x01	0x00	0x00	0x52	0x64	5.9995	0.7120	23.9979	2.8479
12960	455	0x01	0x00	0x00	0x52	0x64	6.7500	0.2370	27.0000	0.9479
13440	1366	0x01	0x00	0x00	0x4D	0x64	7.0000	0.7115	28.0000	2.8458
14880	455	0x01	0x00	0x00	0x4D	0x64	7.7500	0.2370	31.0000	0.9479
15360	1367	0x01	0x00	0x00	0x4E	0x64	8.0000	0.7120	32.0000	2.8479
16800	454	0x01	0x00	0x00	0x52	0x64	8.7500	0.2365	35.0000	0.9458
17280	1367	0x01	0x00	0x00	0x57	0x64	9.0000	0.7120	36.0000	2.8479
18720	454	0x01	0x00	0x00	0x55	0x64	9.7500	0.2365	39.0000	0.9458
19200	1367	0x01	0x00	0x00	0x52	0x64	10.0000	0.7120	40.0000	2.8479
20640	455	0x01	0x00	0x00	0x52	0x64	10.7500	0.2370	43.0000	0.9479
21120	1367	0x01	0x00	0x00	0x4D	0x64	11.0000	0.7120	44.0000	2.8479
22559	456	0x01	0x00	0x00	0x4D	0x64	11.7495	0.2375	46.9979	0.9500
23039	1368	0x01	0x00	0x00	0x4E	0x64	11.9995	0.7125	47.9979	2.8500
24479	456	0x01	0x00	0x00	0x52	0x64	12.7495	0.2375	50.9979	0.9500
24959	1367	0x01	0x00	0x00	0x57	0x64	12.9995	0.7120	51.9979	2.8479
26400	455	0x01	0x00	0x00	0x55	0x64	13.7500	0.2370	55.0000	0.9479
26880	1366	0x01	0x00	0x00	0x52	0x64	14.0000	0.7115	56.0000	2.8458
28320	454	0x01	0x00	0x00	0x52	0x64	14.7500	0.2365	59.0000	0.9458
28800	1367	0x01	0x00	0x00	0x4D	0x64	15.0000	0.7120	60.0000	2.8479
30240	454	0x01	0x00	0x00	0x4D	0x64	15.7500	0.2365	63.0000	0.9458
30720	1367	0x01	0x00	0x00	0x4E	0x64	16.0000	0.7120	64.0000	2.8479
