time:779	pitch:79	volume:120	bar:0	beat:1
time:1165	pitch:79	volume:0	bar:0	beat:2
time:1165	pitch:72	volume:120	bar:0	beat:2
time:1165	pitch:87	volume:120	bar:0	beat:2
time:1557	pitch:87	volume:120	bar:1	beat:3
time:1557	pitch:79	volume:120	bar:1	beat:3
time:1557	pitch:75	volume:120	bar:1	beat:3
time:1557	pitch:87	volume:0	bar:1	beat:3
time:1557	pitch:72	volume:0	bar:1	beat:3
time:1751	pitch:87	volume:0	bar:1	beat:4
time:1751	pitch:89	volume:120	bar:1	beat:4
time:1945	pitch:91	volume:120	bar:1	beat:4
time:1945	pitch:89	volume:0	bar:1	beat:4
time:2331	pitch:91	volume:0	bar:1	beat:5
time:2331	pitch:70	volume:120	bar:1	beat:5
time:2331	pitch:75	volume:0	bar:1	beat:5
time:2331	pitch:79	volume:0	bar:1	beat:5
time:2331	pitch:86	volume:120	bar:1	beat:5
time:2723	pitch:94	volume:120	bar:2	beat:6
time:2723	pitch:86	volume:0	bar:2	beat:6
time:2723	pitch:70	volume:0	bar:2	beat:6
time:2723	pitch:74	volume:120	bar:2	beat:6
time:2723	pitch:77	volume:120	bar:2	beat:6
time:3502	pitch:74	volume:0	bar:2	beat:8
time:3502	pitch:77	volume:0	bar:2	beat:8
time:3502	pitch:68	volume:120	bar:2	beat:8
time:3502	pitch:94	volume:0	bar:2	beat:8
time:3502	pitch:84	volume:120	bar:2	beat:8
time:3891	pitch:84	volume:120	bar:3	beat:9
time:3891	pitch:84	volume:0	bar:3	beat:9
time:3891	pitch:75	volume:120	bar:3	beat:9
time:3891	pitch:68	volume:0	bar:3	beat:9
time:3891	pitch:72	volume:120	bar:3	beat:9
time:4085	pitch:84	volume:0	bar:3	beat:10
time:4085	pitch:86	volume:120	bar:3	beat:10
time:4279	pitch:86	volume:0	bar:3	beat:10
time:4279	pitch:87	volume:120	bar:3	beat:10
time:4665	pitch:67	volume:120	bar:3	beat:11
time:4665	pitch:72	volume:0	bar:3	beat:11
time:4665	pitch:75	volume:0	bar:3	beat:11
time:4665	pitch:87	volume:0	bar:3	beat:11
time:4665	pitch:82	volume:120	bar:3	beat:11
time:5057	pitch:82	volume:0	bar:4	beat:12
time:5057	pitch:91	volume:120	bar:4	beat:12
time:5057	pitch:74	volume:120	bar:4	beat:12
time:5057	pitch:70	volume:120	bar:4	beat:12
time:5057	pitch:67	volume:0	bar:4	beat:12
time:5836	pitch:91	volume:0	bar:4	beat:14
time:5836	pitch:80	volume:120	bar:4	beat:14
time:5836	pitch:65	volume:120	bar:4	beat:14
time:5836	pitch:74	volume:0	bar:4	beat:14
time:5836	pitch:70	volume:0	bar:4	beat:14
time:6225	pitch:72	volume:120	bar:5	beat:15
time:6225	pitch:65	volume:0	bar:5	beat:15
time:6225	pitch:68	volume:120	bar:5	beat:15
time:6225	pitch:80	volume:120	bar:5	beat:15
time:6225	pitch:80	volume:0	bar:5	beat:15
time:6419	pitch:80	volume:0	bar:5	beat:16
time:6419	pitch:82	volume:120	bar:5	beat:16
time:6610	pitch:82	volume:0	bar:5	beat:16
time:6610	pitch:84	volume:120	bar:5	beat:16
time:7002	pitch:84	volume:0	bar:5	beat:17
time:7002	pitch:86	volume:120	bar:5	beat:17
time:7002	pitch:68	volume:0	bar:5	beat:17
time:7002	pitch:72	volume:0	bar:5	beat:17
